zip_code,centroid_longitude,centroid_latitude,area,convex_hull_area
05829,-72.07541590645519,44.952988275883655,0.0073247824835001,0.009501409888000191
05820,-72.37618476610525,44.74910155689099,0.0036174909449999027,0.0043783915500000695
05868,-72.40538355174985,44.90106553226241,7.73090709999803e-05,0.0001017282419999983
05857,-72.30761793191664,44.93386451240441,0.01227013332049996,0.014045599067500443
05839,-72.21933117754789,44.67507916893595,0.008072192160500091,0.009459489899500257
05827,-72.35806268121078,44.68126007561649,0.0044936201874999715,0.006011511149999967
05826,-72.40554483641273,44.647049168915736,0.008874152663499984,0.011167365231499844
05841,-72.30294976948483,44.608407061742064,0.008208252298000021,0.00952456638449939
24538,-78.95454846609042,37.32451101811458,0.02084981577300001,0.03765822394499967
24504,-79.04924241389361,37.37834365867766,0.008673704233500045,0.01752629825399983
23963,-78.7998069117207,37.189817760104255,0.005979032056999873,0.011668390207999821
24528,-78.88130121932835,37.0798001506811,0.02545392431700018,0.040831839560499975
24569,-79.12063839045288,37.04481772320212,0.00915738083849986,0.01411793285549973
24501,-79.15194901562997,37.35768123172571,0.009795223594999828,0.022649505626499082
24502,-79.21662796154314,37.35720268703972,0.008286236045000077,0.015768392337500572
24551,-79.32285959426542,37.370339811378926,0.017957304159999903,0.025456584727999654
24550,-79.27214632094476,37.234138328683365,0.017338346142000065,0.025574949567000314
24571,-79.38255007667098,37.13223216075761,0.011951225014999898,0.01898376067499983
24588,-79.09302214116892,37.26812587427391,0.019408467824999852,0.02865295854800015
24554,-79.06651550183784,37.13978825659724,0.0336422491345,0.04974512189449952
24517,-79.22588457103987,37.14793611468477,0.009598197594500084,0.013184088781500243
22485,-77.16077812786972,38.27157692488561,0.048311409560499854,0.06267546601500053
22448,-77.03229719740764,38.339987258127806,0.0011302293299999804,0.0012492745315002458
24426,-80.06367795234208,37.77242647458753,0.09601581588550004,0.1067756798439995
22032,-77.29032100388307,38.82041630632021,0.002020568827999943,0.002381088540499644
22030,-77.34194239284594,38.839961654727766,0.005042408485500011,0.006332142254999896
22031,-77.25998628204404,38.860223674524875,0.0019432431594999737,0.0025628784250000705
26146,-81.03792032647081,39.456939186396,0.009542237050000037,0.013238512772999953
26170,-81.16150875901245,39.36216060977625,0.02936861809350001,0.039149085382000307
26346,-81.0610730258449,39.29082409422495,0.006975818103499953,0.014966492672500784
26134,-81.27819308089383,39.364141613730034,0.001530727672500008,0.002038658117500176
26184,-81.34683792763937,39.29510484565141,0.010916652074500042,0.014819632423999876
25506,-82.19111972183485,38.21149944053753,0.024809088113000102,0.04182389483249974
25510,-82.06678554763941,38.39226427191655,0.0094412151745001,0.012655194493999532
25699,-82.28746364599999,37.96681963104695,0.001974425936500012,0.002863183894999886
25003,-81.76820360050651,38.25178485330408,0.012323504816999837,0.022336958074500212
25523,-82.06854433581331,38.28411324640182,0.013979655749500084,0.018404370543500432
25571,-82.16341690932714,38.28878227318175,0.005889172838500014,0.008729820040999824
25521,-81.98595563893167,38.241277629554176,0.006891389843999754,0.012264736110999201
25501,-81.94692979402171,38.163927927929194,0.009146032246500036,0.01566865152750042
25573,-81.94152462064734,38.217091623065194,0.005038046366500044,0.006437879570499961
25544,-82.11868825721132,38.22035934676005,0.0013488155864999575,0.0021028943924999667
25540,-82.12744260990104,38.1570244835568,0.0024831800214999726,0.004654571685999735
25557,-82.1628494621042,38.10493469256035,0.01441637407699994,0.020070332479999727
25564,-81.88977288096532,38.27272953452195,0.005946904999499942,0.009754801525999859
25567,-81.86953021137204,38.23302186045711,0.002464440167000002,0.005713252409499801
26884,-79.36577276923884,38.8666820779732,0.016079147008499935,0.02231633342849974
26886,-79.43927704430325,38.83872650152317,0.006056684561999923,0.008776333665499724
26814,-79.44426871619883,38.73513142621279,0.011008162716500026,0.01590035055149927
26807,-79.35745164916159,38.655900481461394,0.04152357706000005,0.0714925207065007
26804,-79.54054802871637,38.63584485895476,0.02176650247450001,0.028020758277998783
26866,-79.24477576295988,38.80187752704328,0.021428607263500127,0.028572239178500682
26802,-79.20193346690304,38.63427618934718,0.0376709317055001,0.052047110173999434
26815,-79.36691130338843,38.48734761319574,0.023101027541000213,0.03174725546800051
26570,-80.24357107335454,39.63815315103478,0.01491561320549999,0.02022265239400131
26588,-80.15087466572798,39.57920518961382,0.007906564643999983,0.013114965996999836
26554,-80.11536868930357,39.46755141606698,0.03574466271800018,0.0470117099864985
26586,-80.10769173170938,39.527554366812446,4.126096150002636e-05,5.85560335000169e-05
26591,-80.28318239075321,39.45410790910823,0.003943876183499975,0.005610471824000341
26571,-80.2602781152258,39.523813783286464,0.005773311185499986,0.008162167018499375
26576,-80.26172797522408,39.4927308233251,7.490658000003749e-05,0.0001412065854999846
26563,-80.27212827323088,39.47898830550105,0.00030871838400000853,0.0004420102720000753
26572,-80.30774838166136,39.48517880449643,0.00012516002849996167,0.00018805002899995304
26559,-80.16453044543846,39.50094485405007,0.00016989915749996857,0.00020510819249989256
26574,-80.1771382889675,39.56280365613377,0.0003812761140000238,0.00042965564399996304
26582,-80.38413126773155,39.52881952805979,0.022922660777999985,0.03204401083999966
26587,-80.29727530812517,39.532084877829064,0.0006829489479999682,0.0013682999040001739
26585,-80.42315039336337,39.60913794874903,0.007007522255499932,0.012827167361999426
26437,-80.52808858183278,39.51190194657821,0.010031671203999962,0.01685110406750047
26448,-80.48624996739214,39.41910340941992,0.010222178001000037,0.014260215606500697
25962,-80.80999608216462,37.97334692102383,0.02648091059100011,0.03538694909800052
24925,-80.37733252162464,37.7219539285479,0.00938852933450006,0.013741657014999697
24976,-80.53030328771023,37.66482056103598,0.010802117308000087,0.01726499573349993
24970,-80.47011179271453,37.73190501725278,0.009730326478499973,0.013467918643499771
24986,-80.19951063013623,37.91163179117049,0.06239482635049997,0.08281600333250204
24966,-80.36439649237867,38.037573998168945,0.03359024629149992,0.07200875160149964
24938,-80.39188850121612,37.93442183558632,0.0094942665580001,0.019968750873999182
24901,-80.45986867763348,37.84070239105299,0.02037283654649982,0.03507231626000001
25984,-80.62879381399641,38.00165974373118,0.011621517855499943,0.01922296975800041
24991,-80.49409373048654,38.02565044591281,0.01237928022700008,0.022453824415999798
25958,-80.71637043202682,38.01697867009151,0.002894914801999982,0.0037733234835001022
24950,-80.59864543121887,37.944282834196116,0.0003361015260000185,0.0006973267439999729
