zip_code,centroid_longitude,centroid_latitude,internal_point_latitude,internal_point_longitude,area,convex_hull_area
43451,-83.61511443296051,41.31279855562986,+41.3183010,-083.6174935,0.006835586622499969,0.010338180439999902
43452,-82.96679787809002,41.51517812112528,+41.5157923,-082.9809454,0.014585007398499899,0.029272518168499833
43456,-82.82293964041914,41.66843077301638,+41.6468445,-082.8226641,0.0011231313515000622,0.0038346330324994012
43457,-83.42746111676954,41.267326078574506,+41.2673266,-083.4274645,0.005161715142000107,0.006482657228500145
43458,-83.21258690588805,41.53105096576223,+41.5304461,-083.2133648,0.00028198600499994487,0.000282263442000012
43460,-83.56306565411057,41.60279440607378,+41.6011920,-083.5649985,0.0008586643934998632,0.0011322799114997684
43462,-83.71869405287087,41.28356843884935,+41.2837850,-083.7228646,0.007157523489499998,0.00845763267849996
43463,-83.50803436900893,41.508664953975185,+41.5086650,-083.5080344,2.0938309999980776e-06,2.1063204999993303e-06
43464,-82.93271461209778,41.407231076566404,+41.4048795,-082.9241092,0.010599235637500093,0.014427096182999657
43465,-83.50374071707866,41.57008893863899,+41.5654721,-083.5003020,0.0030940220869999724,0.004577801624500206
43466,-83.51481601236327,41.29536344569834,+41.2953588,-083.5148215,0.007726488902000106,0.011292649930000046
43467,-83.48384101500925,41.24320275665633,+41.2432028,-083.4838410,9.648051999997919e-05,0.00010887430900003135
43468,-83.34149253485376,41.597867165119794,+41.5978668,-083.3414931,0.0002010258105000565,0.0002916487029999159
97824,-117.75623309073639,45.33993366062508,+45.3543012,-117.7564700,0.06496630770499964,0.0802206922599993
97825,-119.51658259497894,44.385302383324365,+44.3851264,-119.4962730,0.07254570274599997,0.09917605587100052
97826,-119.22658479306568,45.65450740950855,+45.6642964,-119.2323162,0.09497160769849962,0.11356540857299939
97827,-117.84526809092884,45.5879332310952,+45.5754239,-117.8380496,0.06146659571149966,0.08138646528800003
97828,-117.22857230260567,45.70676035432728,+45.7165633,-117.2219918,0.22031689332600096,0.3508869790624981
97830,-120.18942294087786,44.95014239701095,+44.9665611,-120.1831619,0.17716805513800046,0.2479646767909987
97833,-118.01489573243138,44.92888720718905,+44.9288884,-118.0148778,0.026005755219000143,0.04713194345149997
97834,-117.18910661973405,44.968705126635356,+44.9722752,-117.1611907,0.06171487200900015,0.10860908838050046
97835,-118.78661152751158,45.91005444518276,+45.9100468,-118.7865512,0.05649864423949998,0.06450810771499835
97836,-119.50125831003295,45.2939187573557,+45.3211522,-119.4746198,0.2753441062079989,0.3696280449694984
97837,-118.03641144250518,44.51814077967786,+44.5566606,-118.0671060,0.035151488777499865,0.05077200897199905
97838,-119.28691689667215,45.8529777231143,+45.8530040,-119.2872655,0.052623819089999926,0.08556772107550079
97839,-119.59274884583282,45.59135403964336,+45.5912086,-119.5929843,0.05975428781299985,0.08840327692149902
97840,-116.92735801100825,44.90615710899824,+44.8560993,-116.9412302,0.034874835049500084,0.04887457136500057
